numberIndividuals;cxpb;mtpb;numberGenerations;accelerator;bestEq;bestMetric;
150;0.75;0.25;2000;2;add(p_density_carrington_3, speed_1d_1);(26.32845997457152,);
150;0.75;0.25;2000;2;add(p_density_carrington_3, speed_1d_1);(26.32845997457152,);
150;0.75;0.25;2000;2;add(log(Bz_1d_1), speed_1d_1);(24.910701712718012,);
150;0.75;0.25;2000;2;add(log(Bz_1d_1), speed_1d_1);(24.910701712718012,);
150;0.75;0.25;2000;2;add(Bz_carrington_2, speed_1d_1);(24.641889728710147,);
150;0.75;0.25;2000;2;tan(atan(speed_1d_1));(24.57419136146099,);
150;0.75;0.25;2000;2;add(asin(Bt_1d_1), speed_1d_1);(24.140297804605336,);
150;0.75;0.25;2000;2;add(asin(Bt_1d_1), speed_1d_1);(24.140297804605336,);
150;0.75;0.25;2000;2;add(atan(sub(sub(cos(Bz_carrington_3), log(p_density_carrington_3)), log(By_1d_3))), speed_1d_1);(24.138042463590608,);
150;0.75;0.25;2000;2;add(atan(sub(sub(cos(Bz_carrington_3), log(p_density_carrington_3)), log(By_1d_3))), speed_1d_1);(24.138042463590608,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sqrt(Bt_carrington_3), speed_1d_1)), Bt_1d_2));(23.448731959475044,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sqrt(Bt_carrington_3), speed_1d_1)), Bt_1d_2));(23.448731959475044,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(atan(mul(sqrt(Bt_carrington_3), speed_1d_1)), Bt_1d_2));(23.448731959475044,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(log(pow(By_carrington_1, temperature_carrington_1)), Bt_1d_2));(23.024579743032476,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(log(pow(By_carrington_1, temperature_carrington_1)), Bt_1d_2));(23.024579743032476,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(log(pow(By_carrington_1, temperature_carrington_1)), Bt_1d_2));(23.024579743032476,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(log(pow(By_carrington_1, temperature_carrington_1)), Bt_1d_2));(23.024579743032476,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(log(pow(By_carrington_1, temperature_carrington_1)), Bt_1d_2));(23.024579743032476,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(log(pow(By_carrington_1, temperature_carrington_1)), Bt_1d_2));(23.024579743032476,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(log(pow(By_carrington_1, temperature_carrington_1)), Bt_1d_2));(23.024579743032476,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(log(pow(By_carrington_1, temperature_carrington_1)), Bt_1d_2));(23.024579743032476,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(log(pow(By_carrington_1, temperature_carrington_1)), Bt_1d_2));(23.024579743032476,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(log(pow(By_carrington_1, temperature_carrington_1)), Bt_1d_2));(23.024579743032476,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(log(pow(By_carrington_1, temperature_carrington_1)), Bt_1d_2));(23.024579743032476,);
