Column1;Bt_carrington_4;Bx_carrington_4;By_carrington_4;Bz_carrington_4;speed_carrington_4;p_density_carrington_4;temperature_carrington_4;Bt_1d_4;Bx_1d_4;By_1d_4;Bz_1d_4;speed_1d_4;p_density_1d_4;temperature_1d_4;Bt_carrington_3;Bx_carrington_3;By_carrington_3;Bz_carrington_3;speed_carrington_3;p_density_carrington_3;temperature_carrington_3;Bt_1d_3;Bx_1d_3;By_1d_3;Bz_1d_3;speed_1d_3;p_density_1d_3;temperature_1d_3;Bt_carrington_2;Bx_carrington_2;By_carrington_2;Bz_carrington_2;speed_carrington_2;p_density_carrington_2;temperature_carrington_2;Bt_1d_2;Bx_1d_2;By_1d_2;Bz_1d_2;speed_1d_2;p_density_1d_2;temperature_1d_2;Bt_carrington_1;Bx_carrington_1;By_carrington_1;Bz_carrington_1;speed_carrington_1;p_density_carrington_1;temperature_carrington_1;Bt_1d_1;Bx_1d_1;By_1d_1;Bz_1d_1;speed_1d_1;p_density_1d_1;temperature_1d_1;forecast
0;6.77341E+15;6.98978E+15;2.95765E+15;4.04829E+15;2.89891E+14;7.71457E+15;1.82341E+14;4.08154E+15;-1.95843E+16;1.35232E+15;2.08116E+15;3.63633E+15;4.08458E+15;5.79487E+15;5.97402E+15;9.48193E+14;1.48871E+15;-1.58342E+16;2.85625E+15;1.16155E+15;4.43698E+15;4.32517E+15;-2.10082E+15;2.78179E+15;-2.89074E+15;3.58649E+15;5.0554E+15;5.10917E+15;5.77859E+15;-7.21951E+15;4.43883E+15;4.88859E+15;2.87891E+16;8.00082E+15;5.89399E+15;4.11837E+15;-1.72939E+16;2.38394E+16;-2.01228E+15;3.43405E+16;6.95903E+15;4.0343E+15;4.33764E+15;6.54611E+14;1.16597E+16;2.23393E+15;2.93883E+15;6.6769E+15;2.57151E+15;5.48308E+15;-2.61126E+16;2.77229E+16;-6.76662E+15;3.4779E+15;7.05243E+15;5.4103E+15;3.40008E+16
1;5.97402E+15;9.48193E+14;1.48871E+15;-1.58342E+16;2.85625E+15;1.16155E+15;4.43698E+15;4.32517E+15;-2.10082E+15;2.78179E+15;-2.89074E+15;3.58649E+15;5.0554E+15;5.10917E+15;5.77859E+15;-7.21951E+15;4.43883E+15;4.88859E+15;2.87891E+16;8.00082E+15;5.89399E+15;4.11837E+15;-1.72939E+16;2.38394E+16;-2.01228E+15;3.43405E+16;6.95903E+15;4.0343E+15;4.33764E+15;6.54611E+14;1.16597E+16;2.23393E+15;2.93883E+15;6.6769E+15;2.57151E+15;5.48308E+15;-2.61126E+16;2.77229E+16;-6.76662E+15;3.4779E+15;7.05243E+15;5.4103E+15;3.84001E+15;2.46795E+15;-1.84532E+16;6.39789E+15;3.22181E+16;4.17093E+15;3.5831E+16;4.26876E+15;-2.58394E+13;1.89633E+16;9.02263E+15;3.37902E+15;4.83207E+15;5.75618E+15;3.37677E+15
2;5.77859E+15;-7.21951E+15;4.43883E+15;4.88859E+15;2.87891E+16;8.00082E+15;5.89399E+15;4.11837E+15;-1.72939E+16;2.38394E+16;-2.01228E+15;3.43405E+16;6.95903E+15;4.0343E+15;4.33764E+15;6.54611E+14;1.16597E+16;2.23393E+15;2.93883E+15;6.6769E+15;2.57151E+15;5.48308E+15;-2.61126E+16;2.77229E+16;-6.76662E+15;3.4779E+15;7.05243E+15;5.4103E+15;3.84001E+15;2.46795E+15;-1.84532E+16;6.39789E+15;3.22181E+16;4.17093E+15;3.5831E+16;4.26876E+15;-2.58394E+13;1.89633E+16;9.02263E+15;3.37902E+15;4.83207E+15;5.75618E+15;3.69941E+16;1.39373E+15;-2.34561E+16;7.20326E+15;2.94015E+15;6.21276E+15;2.637E+15;6.36014E+15;-3.10745E+16;2.17345E+16;-2.62334E+15;3.60256E+14;8.29787E+13;6.78928E+14;3.74641E+15
3;4.56784E+15;2.0564E+16;-1.38692E+15;3.39631E+15;5.21659E+15;2.80673E+16;1.37494E+14;4.30747E+15;-7.66374E+15;2.51891E+16;1.90295E+15;3.70383E+15;3.3865E+15;6.6743E+15;4.08782E+15;2.99341E+16;-1.40847E+16;8.11144E+15;4.26209E+15;3.22367E+16;7.21411E+15;3.58608E+16;-1.16341E+16;1.57398E+14;1.23319E+15;3.11464E+16;5.65431E+15;4.09876E+15;3.4722E+15;2.1509E+16;-1.65509E+15;2.4725E+12;3.62731E+16;4.46446E+15;4.5871E+15;4.45488E+15;-7.34062E+15;2.17913E+15;8.11325E+15;3.25594E+16;9.82679E+15;4.12493E+15;6.80003E+15;4.72964E+15;-2.80442E+16;-3.23574E+15;3.52656E+15;7.47464E+15;6.51727E+15;6.29894E+15;1.85931E+15;-2.65852E+15;2.47148E+15;3.53939E+15;1.22008E+15;5.91537E+15;3.79401E+15
4;4.08782E+15;2.99341E+16;-1.40847E+16;8.11144E+15;4.26209E+15;3.22367E+16;7.21411E+15;3.58608E+16;-1.16341E+16;1.57398E+14;1.23319E+15;3.11464E+16;5.65431E+15;4.09876E+15;3.4722E+15;2.1509E+16;-1.65509E+15;2.4725E+12;3.62731E+16;4.46446E+15;4.5871E+15;4.45488E+15;-7.34062E+15;2.17913E+15;8.11325E+15;3.25594E+16;9.82679E+15;4.12493E+15;6.80003E+15;4.72964E+15;-2.80442E+16;-3.23574E+15;3.52656E+15;7.47464E+15;6.51727E+15;6.29894E+15;1.85931E+15;-2.65852E+15;2.47148E+15;3.53939E+15;1.22008E+15;5.91537E+15;6.00327E+15;3.83038E+14;-2.3736E+15;1.2488E+15;3.64453E+15;5.36138E+15;5.76817E+15;5.07684E+15;1.56089E+15;6.27991E+15;-3.76879E+14;3.78301E+15;6.58006E+15;5.85523E+14;3.78983E+15
5;3.4722E+15;2.1509E+16;-1.65509E+15;2.4725E+12;3.62731E+16;4.46446E+15;4.5871E+15;4.45488E+15;-7.34062E+15;2.17913E+15;8.11325E+15;3.25594E+16;9.82679E+15;4.12493E+15;6.80003E+15;4.72964E+15;-2.80442E+16;-3.23574E+15;3.52656E+15;7.47464E+15;6.51727E+15;6.29894E+15;1.85931E+15;-2.65852E+15;2.47148E+15;3.53939E+15;1.22008E+15;5.91537E+15;6.00327E+15;3.83038E+14;-2.3736E+15;1.2488E+15;3.64453E+15;5.36138E+15;5.76817E+15;5.07684E+15;1.56089E+15;6.27991E+15;-3.76879E+14;3.78301E+15;6.58006E+15;5.85523E+14;9.23289E+15;-4.00462E+15;-4.62282E+15;4.62015E+14;3.60909E+15;6.69274E+16;1.83674E+16;5.27153E+15;2.40349E+16;-2.4396E+16;1.4726E+15;4.15707E+15;6.00551E+14;1.20084E+15;4.21042E+15
6;6.80003E+15;4.72964E+15;-2.80442E+16;-3.23574E+15;3.52656E+15;7.47464E+15;6.51727E+15;6.29894E+15;1.85931E+15;-2.65852E+15;2.47148E+15;3.53939E+15;1.22008E+15;5.91537E+15;6.00327E+15;3.83038E+14;-2.3736E+15;1.2488E+15;3.64453E+15;5.36138E+15;5.76817E+15;5.07684E+15;1.56089E+15;6.27991E+15;-3.76879E+14;3.78301E+15;6.58006E+15;5.85523E+14;9.23289E+15;-4.00462E+15;-4.62282E+15;4.62015E+14;3.60909E+15;6.69274E+16;1.83674E+16;5.27153E+15;2.40349E+16;-2.4396E+16;1.4726E+15;4.15707E+15;6.00551E+14;1.20084E+15;5.21035E+15;7.28104E+15;-3.93302E+15;1.22094E+16;3.32676E+15;4.64077E+15;5.37401E+15;4.80201E+16;2.37265E+15;-1.39483E+16;5.39084E+15;4.27649E+16;5.70507E+15;8.62628E+14;4.06592E+15
7;6.00327E+15;3.83038E+14;-2.3736E+15;1.2488E+15;3.64453E+15;5.36138E+15;5.76817E+15;5.07684E+15;1.56089E+15;6.27991E+15;-3.76879E+14;3.78301E+15;6.58006E+15;5.85523E+14;9.23289E+15;-4.00462E+15;-4.62282E+15;4.62015E+14;3.60909E+15;6.69274E+16;1.83674E+16;5.27153E+15;2.40349E+16;-2.4396E+16;1.4726E+15;4.15707E+15;6.00551E+14;1.20084E+15;5.21035E+15;7.28104E+15;-3.93302E+15;1.22094E+16;3.32676E+15;4.64077E+15;5.37401E+15;4.80201E+16;2.37265E+15;-1.39483E+16;5.39084E+15;4.27649E+16;5.70507E+15;8.62628E+14;5.73819E+15;2.8947E+14;-4.83311E+15;1.63759E+15;3.13678E+16;4.27721E+16;2.02545E+16;4.31109E+15;3.14104E+15;-1.93876E+15;-1.22967E+15;4.13249E+15;3.97583E+16;7.0845E+15;3.76194E+15
13;4.80413E+15;2.43426E+14;-3.16041E+16;-8.9439E+15;4.20936E+15;3.05129E+15;5.09604E+14;7.73588E+15;4.40085E+15;-2.70366E+15;-4.8567E+15;5.73252E+15;1.25359E+16;1.09309E+16;4.1244E+15;-1.14353E+16;2.75455E+16;-7.5362E+14;3.53781E+15;5.52911E+14;2.69117E+15;4.50954E+15;1.82937E+16;-1.28314E+16;-3.69557E+15;6.00465E+13;1.92346E+16;1.65984E+15;4.85863E+15;-2.69263E+16;2.31118E+16;-5.65967E+15;3.87525E+15;5.4003E+15;8.8839E+15;3.62384E+16;1.74412E+16;-1.39754E+15;2.40281E+14;5.93107E+15;1.77364E+15;1.40678E+16;5.92408E+15;-3.13756E+15;2.64242E+15;3.8335E+15;4.64843E+15;5.1174E+15;1.29234E+16;3.35135E+15;1.08679E+16;-1.97064E+15;-2.34926E+15;4.63049E+15;1.79549E+15;5.20588E+15;3.99505E+15
14;4.1244E+15;-1.14353E+16;2.75455E+16;-7.5362E+14;3.53781E+15;5.52911E+14;2.69117E+15;4.50954E+15;1.82937E+16;-1.28314E+16;-3.69557E+15;6.00465E+13;1.92346E+16;1.65984E+15;4.85863E+15;-2.69263E+16;2.31118E+16;-5.65967E+15;3.87525E+15;5.4003E+15;8.8839E+15;3.62384E+16;1.74412E+16;-1.39754E+15;2.40281E+14;5.93107E+15;1.77364E+15;1.40678E+16;5.92408E+15;-3.13756E+15;2.64242E+15;3.8335E+15;4.64843E+15;5.1174E+15;1.29234E+16;3.35135E+15;1.08679E+16;-1.97064E+15;-2.34926E+15;4.63049E+15;1.79549E+15;5.20588E+15;5.11801E+15;-2.70997E+16;2.37267E+15;1.19586E+16;4.20382E+15;4.58252E+15;5.25562E+15;3.24401E+15;-1.33814E+16;-3.39812E+15;1.46484E+15;3.98293E+15;3.37171E+15;2.6447E+16;3.66621E+15
